"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         104,      -5.936709709,      -6.631010399,      -6.496107135,      -5.409297806
          0,           0,         105,      -5.953019572,      -6.648708755,      -6.516959276,      -5.425731977
          0,           0,         106,      -5.969319619,      -6.666378843,      -6.537679443,      -5.442140169
          0,           0,         107,      -5.985653397,       -6.68425322,      -6.558088727,      -5.458566195
          0,           0,         108,      -6.002025166,      -6.702445528,      -6.577711301,      -5.475014373
          0,           0,         109,      -6.018416577,      -6.721021615,      -6.596186587,      -5.491458498
          0,           0,         110,      -6.034877831,      -6.739974874,      -6.613458587,      -5.507947159
          0,           0,         111,      -6.051457509,      -6.759325645,      -6.629656787,      -5.524525423
          0,           0,         112,      -6.068186998,      -6.779161111,      -6.644919079,      -5.541226149
          0,           0,         113,      -6.085086126,      -6.799567151,       -6.65919441,      -5.558076605
          0,           0,         114,      -6.102170842,      -6.820553708,      -6.672420738,      -5.575102579
          0,           0,         115,      -6.119437324,       -6.84205307,      -6.684670395,      -5.592303763
          0,           0,         116,      -6.136907639,      -6.863930135,      -6.696125238,      -5.609703317
          0,           0,         117,      -6.154593405,      -6.886056244,      -6.707187543,      -5.627313264
          0,           0,         118,       -6.17251532,       -6.90836405,      -6.718182627,      -5.645165152
          0,           0,         119,      -6.190671182,      -6.930778603,      -6.729089761,      -5.663263365
          0,           0,         120,      -6.209064588,      -6.953161901,      -6.740054466,      -5.681611387
          0,           0,         121,      -6.227703471,       -6.97531083,      -6.751410906,       -5.70021559
          0,           0,         122,      -6.246585922,      -6.997080748,      -6.763424487,       -5.71907256
          0,           0,         123,      -6.265711595,      -7.018333203,      -6.776153938,      -5.738182148
          0,           0,         124,      -6.285052572,      -7.038919249,      -6.789641845,      -5.757516529
          0,           0,         125,      -6.304589636,      -7.058728818,      -6.803954013,      -5.777053296
          0,           0,         126,      -6.324314449,      -7.077694221,      -6.819177712,      -5.796782804
          0,           0,         127,       -6.34420163,      -7.095773283,       -6.83543197,      -5.816674844
          0,           0,         128,       -6.36423607,       -7.11298333,      -6.852706278,      -5.836715992
          0,           0,         129,      -6.384390425,      -7.129403435,      -6.870886689,      -5.856870595
          0,           0,         130,      -6.404618617,      -7.145078471,      -6.890180157,      -5.877087839
          0,           0,         131,       -6.42487074,      -7.160180546,      -6.910576613,      -5.897322879
          0,           0,         132,      -6.445112341,      -7.174785424,      -6.931834032,       -5.91753971
          0,           0,         133,      -6.465284114,      -7.188925483,      -6.953899685,      -5.937671353
          0,           0,         134,      -6.485325428,      -7.202761465,      -6.976730407,      -5.957657576
          0,           0,         135,       -6.50519412,      -7.216535644,      -7.000253216,      -5.977459337
          0,           0,         136,      -6.524857021,       -7.23047334,      -7.024287484,      -5.997042348
          0,           0,         137,      -6.544279697,       -7.24472331,       -7.04869849,       -6.01637336
          0,           0,         138,      -6.563441803,       -7.25935873,      -7.073300761,      -6.035437092
          0,           0,         139,      -6.582329828,       -7.27433803,      -7.097865996,      -6.054223462
          0,           0,         140,      -6.600924545,      -7.289637144,      -7.122147115,      -6.072712319
          0,           0,         141,        -6.6192035,      -7.305230288,      -7.145969724,      -6.090879461
          0,           0,         142,      -6.637164793,      -7.321087065,      -7.169210866,      -6.108726123
          0,           0,         143,      -6.654804994,       -7.33718737,      -7.191799425,      -6.126250982
          0,           0,         144,      -6.672148939,      -7.353496906,      -7.213589339,      -6.143484596
          0,           0,         145,      -6.689218229,      -7.369987962,      -7.234417555,       -6.16044882
          0,           0,         146,      -6.706037371,      -7.386591065,      -7.254153636,      -6.177170266
          0,           0,         147,      -6.722613874,       -7.40321941,      -7.272812708,      -6.193656598
          0,           0,         148,      -6.738987701,      -7.419840649,      -7.290492957,      -6.209953403
          0,           0,         149,      -6.755199413,      -7.436453738,      -7.307226725,      -6.226098757
          0,           0,         150,      -6.771297853,      -7.452990614,      -7.323278646,      -6.242142376
          0,           0,         151,      -6.787297468,      -7.469385767,      -7.338737938,      -6.258097272
          0,           0,         152,      -6.803229557,       -7.48561599,      -7.353660489,      -6.273996034
          0,           0,         153,      -6.819123942,      -7.501664457,      -7.368240208,      -6.289865694
          0,           0,         154,      -6.835027976,      -7.517501662,      -7.382744559,      -6.305755565
          0,           0,         155,       -6.85096529,      -7.533158594,      -7.397281431,      -6.321689497
          0,           0,         156,      -6.866937036,      -7.548668382,      -7.411906094,      -6.337667013
          0,           0,         157,      -6.882928061,      -7.564052427,      -7.426617373,      -6.353668426
          0,           0,         158,      -6.898981436,      -7.579338127,      -7.441529458,      -6.369741493
          0,           0,         159,      -6.915131206,      -7.594566286,      -7.456740779,       -6.38592068
          0,           0,         160,      -6.931386812,      -7.609762321,      -7.472592712,      -6.402214828
          0,           0,         161,      -6.947763394,      -7.624953793,      -7.489071917,      -6.418641015
          0,           0,         162,      -6.964267491,      -7.640192561,       -7.50604992,      -6.435204248
          0,           0,         163,      -6.980912913,      -7.655501577,      -7.523427542,       -6.45191776
          0,           0,         164,      -6.997710671,      -7.670871817,      -7.541159363,      -6.468787694
          0,           0,         165,      -7.014662763,      -7.686310237,       -7.55931739,       -6.48581649
          0,           0,         166,      -7.031795565,       -7.70184485,      -7.577900425,      -6.503034183
          0,           0,         167,      -7.049150185,      -7.717501955,      -7.596856199,      -6.520479823
          0,           0,         168,      -7.066731273,       -7.73332589,      -7.616128159,      -6.538152131
          0,           0,         169,      -7.084545967,      -7.749330335,       -7.63569987,      -6.556058287
          0,           0,         170,      -7.102604963,       -7.76549678,       -7.65558169,      -6.574208829
          0,           0,         171,      -7.120932714,      -7.781800374,      -7.675772874,      -6.592626086
          0,           0,         172,      -7.139538271,      -7.798239652,      -7.696248237,      -6.611313834
          0,           0,         173,      -7.158448525,      -7.814824398,      -7.716934857,      -6.630299307
          0,           0,         174,       -7.17767565,      -7.831569148,      -7.737797731,      -6.649593944
          0,           0,         175,      -7.197237471,      -7.848496915,      -7.758820955,      -6.669212335
          0,           0,         176,      -7.217144693,      -7.865629289,      -7.779976934,      -6.689161914
          0,           0,         177,      -7.237409371,      -7.882981175,      -7.801211343,      -6.709453799
          0,           0,         178,      -7.258081073,      -7.900571698,      -7.822430236,      -6.730138057
          0,           0,         179,      -7.279140826,       -7.91842401,      -7.843589079,      -6.751190102
          0,           0,         180,      -7.300554663,      -7.936550394,      -7.864733933,      -6.772573673
          0,           0,         181,      -7.322335913,      -7.954978113,      -7.885858352,        -6.7943044
          0,           0,         182,      -7.344484584,      -7.973724619,       -7.90699119,      -6.816378861
          0,           0,         183,      -7.366989151,       -7.99278661,      -7.928156873,      -6.838784426
          0,           0,         184,      -7.389835049,      -8.012162963,      -7.949320677,      -6.861508078
          0,           0,         185,      -7.412998005,      -8.031859762,       -7.97043089,      -6.884524363
          0,           0,         186,      -7.436466061,      -8.051896665,      -7.991451313,      -6.907822009
          0,           0,         187,      -7.460212371,      -8.072305191,      -8.012408266,      -6.931373704
          0,           0,         188,      -7.484205392,      -8.093100366,      -8.033342367,      -6.955148261
          0,           0,         189,      -7.508410616,      -8.114279606,      -8.054279912,      -6.979112983
          0,           0,         190,      -7.532792637,      -8.135838215,      -8.075230545,      -7.003234369
